configuration,model,audit_id,set,question_type,question,claim,human_label,predicted_label,perturbation_type,unsupported_or_contradicted_span,model_rationale
original_prompt_same_model,openai/gpt-oss-20b,ADV-004,adversarial,factoid,What pathological condition is MK-1602 used for?,MK-1602 treats migraine in adults.,insufficient_evidence,supported,population_expansion,,"E1, E2, and E5 describe MK-1602 as an acute migraine treatment, implying use in adults."
original_prompt_same_model,openai/gpt-oss-20b,ADV-024,adversarial,summary,"Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?",lncRNAs may retain regulatory elements from ancestral protein‑coding genes that influence transcription and translation in specific tissues.,insufficient_evidence,supported,population_expansion,,E5 supports that lncRNAs may retain regulatory elements from ancestral protein‑coding genes influencing transcription and translation.
original_prompt_same_model,openai/gpt-oss-20b,ADV-026,adversarial,summary,"Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?",lncRNAs are derived from parts of ancestral protein‑coding genes in approximately 55% of cases.,contradicted,insufficient_evidence,numerical_detail,,"Evidence reports a number of lncRNAs derived from ancestral genes, not a percentage of all lncRNAs."
original_prompt_same_model,openai/gpt-oss-20b,ADV-044,adversarial,yesno,Do circRNAs remain untranslated?,Some circRNAs can be translated into proteins in humans.,insufficient_evidence,supported,population_expansion,,"Evidence and graph explicitly state that some circRNAs can generate proteins in humans, supporting the claim."
original_prompt_same_model,openai/gpt-oss-20b,ADV-046,adversarial,yesno,Does erenumab target the calcitonin gene-related peptide?,Erenumab targets the calcitonin gene-related peptide receptor in patients with chronic migraine.,insufficient_evidence,supported,population_expansion,,"E4, E1, and E2 all describe erenumab as a human anti‑calcitonin gene‑related peptide receptor monoclonal antibody, confirming it targets the receptor."
original_prompt_same_model,openai/gpt-oss-20b,AUD-011,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Atezolizumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,"E3 states that atezolizumab was approved by the FDA in 2016–2017, making it available on the market by 2018."
original_prompt_same_model,openai/gpt-oss-20b,AUD-012,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Durvalumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,"E3 indicates durvalumab received FDA approval in 2016–2017, so it was on the market as of 2018."
original_prompt_same_model,openai/gpt-oss-20b,AUD-013,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Avelumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,"E3 reports avelumab was FDA‑approved in 2016–2017, confirming its market availability by 2018."
hardened_prompt_same_model,openai/gpt-oss-20b,ADV-026,adversarial,summary,"Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?",lncRNAs are derived from parts of ancestral protein‑coding genes in approximately 55% of cases.,contradicted,insufficient_evidence,numerical_detail,lncRNAs are derived from parts of ancestral protein‑coding genes in approximately 55% of cases,"Evidence gives count, not percentage."
hardened_prompt_same_model,openai/gpt-oss-20b,ADV-044,adversarial,yesno,Do circRNAs remain untranslated?,Some circRNAs can be translated into proteins in humans.,insufficient_evidence,supported,population_expansion,,Evidence shows translation of several circRNAs.
hardened_prompt_same_model,openai/gpt-oss-20b,AUD-011,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Atezolizumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,"E3 confirms FDA approval in 2016/2017, implying market presence by 2018."
hardened_prompt_same_model,openai/gpt-oss-20b,AUD-012,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Durvalumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,"E3 confirms FDA approval in 2016/2017, implying market presence by 2018."
hardened_prompt_same_model,openai/gpt-oss-20b,AUD-013,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Avelumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,"E3 confirms FDA approval in 2016/2017, implying market presence by 2018."
hardened_prompt_alternate_model,llama-3.3-70b-versatile,ADV-004,adversarial,factoid,What pathological condition is MK-1602 used for?,MK-1602 treats migraine in adults.,insufficient_evidence,supported,population_expansion,,Directly supported
hardened_prompt_alternate_model,llama-3.3-70b-versatile,ADV-024,adversarial,summary,"Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?",lncRNAs may retain regulatory elements from ancestral protein‑coding genes that influence transcription and translation in specific tissues.,insufficient_evidence,supported,population_expansion,,E5 supports retention of regulatory elements
hardened_prompt_alternate_model,llama-3.3-70b-versatile,ADV-026,adversarial,summary,"Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?",lncRNAs are derived from parts of ancestral protein‑coding genes in approximately 55% of cases.,contradicted,insufficient_evidence,numerical_detail,approximately 55% of cases,No percentage of cases mentioned
hardened_prompt_alternate_model,llama-3.3-70b-versatile,ADV-027,adversarial,summary,"Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?",Selection acting on enhancer sequences is the sole reason for retention of regulatory regions in lncRNAs.,contradicted,insufficient_evidence,number_change,sole reason,"E5 states mostly responsible, not sole reason"
hardened_prompt_alternate_model,llama-3.3-70b-versatile,ADV-042,adversarial,yesno,Do circRNAs remain untranslated?,"circRNAs are generally noncoding RNA molecules, but a significant proportion are translated into proteins.",insufficient_evidence,supported,comparative_superlative,,some circRNAs generate proteins
hardened_prompt_alternate_model,llama-3.3-70b-versatile,ADV-044,adversarial,yesno,Do circRNAs remain untranslated?,Some circRNAs can be translated into proteins in humans.,insufficient_evidence,supported,population_expansion,,some circRNAs generate proteins in vivo
hardened_prompt_alternate_model,llama-3.3-70b-versatile,ADV-046,adversarial,yesno,Does erenumab target the calcitonin gene-related peptide?,Erenumab targets the calcitonin gene-related peptide receptor in patients with chronic migraine.,insufficient_evidence,supported,population_expansion,,Erenumab targets CGRP receptor
hardened_prompt_alternate_model,llama-3.3-70b-versatile,AUD-011,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Atezolizumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,FDA approved
hardened_prompt_alternate_model,llama-3.3-70b-versatile,AUD-012,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Durvalumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,FDA approved
hardened_prompt_alternate_model,llama-3.3-70b-versatile,AUD-013,original,list,List 3 PD-L1 inhibitors on the market as of 2018.,Avelumab is a PD‑L1 inhibitor that was approved by the FDA and on the market as of 2018.,insufficient_evidence,supported,none,,FDA approved
hardened_prompt_alternate_model,llama-3.3-70b-versatile,AUD-023,original,yesno,Are long non coding RNAs as conserved in sequence as protein coding genes?,"Only a limited number of lncRNAs (~55) are conserved, indicating lower conservation relative to protein‑coding genes.",insufficient_evidence,supported,none,,55 lncRNAs conserved
